Baseline,Param_setting,MAP,MAP_C1,MAP_C2
2,,0.3867437200413196,,
3,,0.6547124658799034,,
4,0.0,0.2838546156531715,,
4,0.0001,0.3810730214267357,,
4,0.001,0.3549443316141831,,
4,0.01,0.29829362573316304,,
4,0.1,0.2317463297204628,,
4,1.0,0.21038789556207035,,
4,10.0,0.23887085036659475,,
4,20.0,0.24697465641009195,,
4,50.0,0.2538748013835972,,
4,100.0,0.2563822918452191,,
5,0.001,0.3220799077973829,,
5,0.01,0.4039740874247041,,
5,0.1,0.4178582655800976,,
5,1.0,0.4468399745761201,,
5,10.0,0.4898255421778962,,
5,15.0,0.4890669712446889,,
5,20.0,0.5040918906432195,,
5,50.0,0.5104842155229494,,
5,100.0,0.5193740888317577,,
5,500.0,0.5220745467989584,,
6,,0.522478143255782,0.5819630963781636,0.3938669671821065
7,0.001,0.5182015086327295,0.5953765180681313,0.3911676505835585
7,0.01,0.5230863226128658,0.5704242765944195,0.3959897332205156
7,0.1,0.5186550539072765,0.5583105278412114,0.4002949541684771
7,1.0,0.5109883512976943,0.5423008527572708,0.4065365260442572
7,10.0,0.5087984045831372,0.5284842042400761,0.4328027432775353
7,15.0,0.5132010878475427,0.5292948148220511,0.4409500972653489
7,20.0,0.5107292265954546,0.5271016847566191,0.4436841693384613
7,50.0,0.50767122889218,0.519917760390886,0.4435894302412664
7,100.0,0.5023745526864546,0.5144540020801703,0.4390773510558064
7,500.0,0.49820458768158205,0.5026813810606433,0.4605836507548892
