Baseline,Param_setting,MAP,MAP_C1,MAP_C2
2,,0.7083487623208672,,
3,,0.6582019476453387,,
4,0.0,0.7418228784019224,,
4,0.0001,0.6662233301308084,,
4,0.001,0.7063350352267945,,
4,0.01,0.7563095632681397,,
4,0.1,0.7951261084722233,,
4,1.0,0.7951830521433316,,
4,10.0,0.7601418098351236,,
4,20.0,0.7526596914708309,,
4,50.0,0.7465591585418629,,
4,100.0,0.7439171895000115,,
5,0.001,0.7176055342908272,,
5,0.01,0.7032192800638591,,
5,0.1,0.6814587589977582,,
5,1.0,0.6681446463969393,,
5,10.0,0.6226931193645022,,
5,15.0,0.6047901100524643,,
5,20.0,0.6004641956815039,,
5,50.0,0.5803296212003274,,
5,100.0,0.5669532582815757,,
5,500.0,0.5388686920498286,,
6,,0.5887414271330952,0.5875277792263973,0.5776780717720904
7,0.001,0.6088073227828618,0.6098694981716021,0.5980717835506404
7,0.01,0.5888292191508526,0.5839494722028432,0.5829514582031661
7,0.1,0.5780628387774017,0.569292120001454,0.584866089926265
7,1.0,0.560515664198584,0.552566012476015,0.5627622559236574
7,10.0,0.5418315461281306,0.5374115589033089,0.5342128109894062
7,15.0,0.5426020913388601,0.5323228591488679,0.5494696775204975
7,20.0,0.5384953180072737,0.5337659880421005,0.5305897374576005
7,50.0,0.5339590951744874,0.5235520232581163,0.5365133232946845
7,100.0,0.5256639437607667,0.5213049979068944,0.5123861549182677
7,500.0,0.5132262977921414,0.5088171084663826,0.5062504488134154
