Baseline,Param_setting,MAP,MAP_C1,MAP_C2
2,,0.3156631340792606,,
3,,0.7480150026477896,,
4,0.0,0.23074446394367865,,
4,0.0001,0.35078604249205164,,
4,0.001,0.31625336470086435,,
4,0.01,0.2502891162605197,,
4,0.1,0.20223244046525832,,
4,1.0,0.2030202343897392,,
4,10.0,0.23456505344760084,,
4,20.0,0.23954759027357564,,
4,50.0,0.2431535443749225,,
4,100.0,0.2444939138336411,,
5,0.001,0.2657240202077191,,
5,0.01,0.3863641355153291,,
5,0.1,0.4299191810210069,,
5,1.0,0.4477282205633037,,
5,10.0,0.499432258650977,,
5,15.0,0.5122781853130269,,
5,20.0,0.5146092978726725,,
5,50.0,0.5301231237128282,,
5,100.0,0.5383096609702865,,
5,500.0,0.5429188918508604,,
6,,0.5516935324676409,0.6395895550076436,0.35153236508475805
7,0.001,0.538063164967182,0.6579868518976604,0.3476048453171533
7,0.01,0.5540675606294803,0.6175591540060444,0.3500064946870461
7,0.1,0.5455299436885611,0.5949233051681846,0.36669349314611055
7,1.0,0.530286887082132,0.5675092387675813,0.3910060489894288
7,10.0,0.5303773982013138,0.5569600325942645,0.4093871220741223
7,15.0,0.5286818081010659,0.5538823481653226,0.4162208261527882
7,20.0,0.5225509380182117,0.5440930045912771,0.41820131739924266
7,50.0,0.5194545668103556,0.5347257349170611,0.4336016061449297
7,100.0,0.5165833985989494,0.5284143721035182,0.4399557695811682
7,500.0,0.5066402738395077,0.5093964475687551,0.4662480026549396
