Baseline,Param_setting,MAP,MAP_C1,MAP_C2
2,,0.7776662423020361,,
3,,0.7648012855410691,,
4,0.0,0.7962409760208796,,
4,0.0001,0.7573863067050859,,
4,0.001,0.788899650727375,,
4,0.01,0.8038098010851839,,
4,0.1,0.8184838882495289,,
4,1.0,0.7966988385762259,,
4,10.0,0.7660754748054811,,
4,20.0,0.7610662545015533,,
4,50.0,0.7574710558865151,,
4,100.0,0.7563337464393258,,
5,0.001,0.7764100652883208,,
5,0.01,0.7749851422886965,,
5,0.1,0.748429327380906,,
5,1.0,0.7335160589553701,,
5,10.0,0.6770867116356036,,
5,15.0,0.6709704333932404,,
5,20.0,0.6579925022439231,,
5,50.0,0.6231165248406918,,
5,100.0,0.6055722515645339,,
5,500.0,0.5582605259816174,,
6,,0.6561593957741708,0.661176948616395,0.6338611397698792
7,0.001,0.6592150846611876,0.6733670755670577,0.6314376210842688
7,0.01,0.6412876065846261,0.6354365718044055,0.6297049252286551
7,0.1,0.6207798200866693,0.6135810149359627,0.6163001815955371
7,1.0,0.5906210869112506,0.5830120973820301,0.5937238497400134
7,10.0,0.5703124305150653,0.5608423932250599,0.5681763127854793
7,15.0,0.5711219271186784,0.5620677230197315,0.5689278583403169
7,20.0,0.5685341078278883,0.5554547496910067,0.5692680512783133
7,50.0,0.5568296134034605,0.5492106483752567,0.5475248115642126
7,100.0,0.5404359166475952,0.5319354327876638,0.5305990047153739
7,500.0,0.5298908772590393,0.5250162481693978,0.5118094719050638
