Baseline,Param_setting,MAP,MAP_C1,MAP_C2,Avg_Norm_Entropy,Avg_Norm_Entropy_C1,Avg_Norm_Entropy_C2,Avg Conservative Percentage,Avg Liberal Percentage
2,,0.3186993846720381,,,0.9517620221483386,,,0.40415,0.59585
3,,0.7215873335884632,,,0.9577970026545374,,,0.6159,0.3841
4,0.0,0.2329475133098244,,,0.8327505844377221,,,0.2754,0.7246
4,0.0001,0.35079323254033684,,,0.9640136528916498,,,0.4306,0.5694
4,0.001,0.3261844814473704,,,0.9498020090076388,,,0.4069,0.5931
4,0.01,0.24871955687823585,,,0.8593792920270792,,,0.2984,0.7016
4,0.1,0.20137384827422605,,,0.7811577263305708,,,0.2433,0.7567
4,1.0,0.20474887137019832,,,0.7672093106065795,,,0.2338,0.7662
4,10.0,0.2379608465813707,,,0.8113921027288896,,,0.2624,0.7376
4,20.0,0.2429102951172998,,,0.8166723967743601,,,0.2668,0.7332
4,50.0,0.2471430995849925,,,0.8230211829316193,,,0.2715,0.7285
4,100.0,0.24861417716020626,,,0.8256881421579935,,,0.2736,0.7264
5,0.001,0.22766964433894546,,,0.8300517735130751,,,0.2723,0.7277
5,0.01,0.3325926301606497,,,0.9643344274287591,,,0.4215,0.5785
5,0.1,0.35019771159635,,,0.9645904194361608,,,0.4359,0.5641
5,1.0,0.3996028615574632,,,0.9736841647358296,,,0.4665,0.5335
5,10.0,0.4546944185389013,,,0.9869640048683942,,,0.5159,0.4841
5,15.0,0.4726503990497529,,,0.9849641673452116,,,0.525,0.475
5,20.0,0.4747020528132099,,,0.9870022406317864,,,0.5293,0.4707
5,50.0,0.4859812877698211,,,0.989790937431562,,,0.5275,0.4725
5,100.0,0.5061247341535959,,,0.9831142755795677,,,0.5463,0.4537
5,500.0,0.5281899639385891,,,0.9857691917545454,,,0.5433,0.4567
6,,0.5825511548388178,0.7068806847000463,0.28227310941445033,0.9956990779967037,0.965596141219262,0.906780224770537,0.5204,0.4796
7,0.001,0.5672256019218245,0.7335398146799358,0.2821167795789577,0.9955006482683232,0.9516690776468154,0.9135591427579758,0.5192,0.4808
7,0.01,0.5945743603835103,0.6785467342715787,0.26542739540627097,0.9966084978572356,0.9795233151613392,0.9161398932128232,0.5193,0.4807
7,0.1,0.5882633650869874,0.6537012115023331,0.2930686051640753,0.9965409960441256,0.9862022398154312,0.9431991550061,0.519,0.481
7,1.0,0.5573536291728989,0.6047817909117965,0.33305530521987703,0.9968919746292888,0.989164934680284,0.9290646742833952,0.5149,0.4851
7,10.0,0.5417116198875778,0.5675533889563098,0.38155458849370816,0.9967952634437516,0.9925076405598422,0.9641989754926664,0.5152,0.4848
7,15.0,0.5370418854501853,0.5643971076865596,0.37082755595479466,0.996764048461714,0.9930678881365692,0.963925556641214,0.5153,0.4847
7,20.0,0.5357939202999359,0.565441495033642,0.3594019668262885,0.9956804567244072,0.9924181798872272,0.966689337013328,0.5185,0.4815
7,50.0,0.5338202181714237,0.5539181875463024,0.3915039744907985,0.997019995099194,0.9940422760890484,0.973350552108893,0.5139,0.4861
7,100.0,0.5219658641411289,0.535231465822976,0.4153445157735918,0.9965485210065052,0.9950709563210468,0.9739296646986272,0.5162,0.4838
7,500.0,0.5091154603715107,0.5189174749268581,0.41787803786582456,0.9972429992322516,0.99755913041711,0.9766318232385892,0.5076,0.4924
