Word,clf_overlap
reunite,12
rough,12
reluctant,12
apologizing,12
tough,11
plague,11
watchers,10
strategically,9
think,8
outbreaks,8
ring,8
poop,8
organs,7
guaranteed,7
inspection,7
war,7
sniper,7
trans,7
starters,7
departures,7
outstanding,7
mayor,7
receiving,7
14,7
shortcomings,7
scroll,7
marine,7
scotland,7
jamie,6
presided,6
ken,6
journalists,6
maligned,6
expelled,6
interior,6
overseen,6
upheaval,6
impeach,6
strapped,6
hotels,6
bathrooms,6
11,6
widely,6
rematch,6
logging,6
hesitate,6
submission,6
asks,6
showcased,6
sickness,6
condemns,6
pair,6
handguns,6
intellectually,6
spacecraft,5
output,5
attire,5
christchurch,5
interrupted,5
diversity,5
fla,5
gunfire,5
martha,5
lights,5
billionaires,5
hackers,5
scarcity,5
strains,5
parliament,5
analytica,5
expose,5
accusing,5
limelight,5
temperature,5
food,5
susan,5
lined,5
shipment,5
bind,5
usda,5
spirited,5
zip,5
footsteps,5
believed,5
favourite,5
jamal,5
creek,5
klobuchar,5
johnson,5
1918,5
underestimated,5
properly,5
women,5
biggs,5
palin,5
lap,5
logs,5
predatory,5
certain,5
practically,5
sobering,5
merger,5
telegraph,5
casualty,5
corridor,5
battled,5
religions,5
hike,5
triggered,5
codes,5
trade,5
