Word,clf_overlap
hop,32
desegregation,30
labor,28
recalls,27
drew,22
restraining,19
coalesced,19
especially,18
incest,18
laughing,16
adm,16
wished,16
pleads,15
rise,14
sba,14
chief,14
weaponized,14
useful,14
respective,13
boasts,12
julia,12
updated,12
jointly,12
escaping,12
laughs,12
sector,12
unsafe,12
schultz,11
jon,11
attending,11
tony,11
proportional,11
explanations,11
bracing,11
rudy,10
separation,10
levied,10
bakaj,10
270,10
assertions,10
sylvia,10
assumes,10
hole,10
strategy,10
cigarettes,10
sheriff,10
parnas,10
narratives,10
supposed,10
tense,10
destroying,10
chain,10
potus,10
scoop,10
exodus,10
verdict,10
attacks,9
mayhem,9
airbase,9
natural,9
initiative,9
stringent,9
hammer,9
patriotism,9
mesa,9
richard,9
inept,9
fearing,9
angered,9
transcript,9
muhandis,9
clarke,9
competitors,9
numerous,9
enemy,9
gaetz,9
paved,9
challenge,9
latinx,9
judith,9
bargain,9
260,9
continued,9
queen,9
scholarship,9
meddle,9
norman,9
catalyst,9
rife,9
races,9
episcopal,9
concluding,9
1952,9
series,9
conform,9
devout,9
office,8
suing,8
discouraged,8
hardship,8
completed,8
ease,8
portraying,8
indiscriminate,8
probable,8
spinning,8
workings,8
map,8
116,8
salman,8
obligations,8
turns,8
generated,8
militants,8
contributors,8
multiracial,8
depict,8
qualms,8
reeves,8
levy,8
profound,8
plane,8
unwanted,8
notoriety,8
turbulent,8
emanuel,8
ali,8
sailors,8
dug,8
unreported,8
synagogue,8
organs,8
surpassing,8
swayed,8
countering,8
slots,8
withering,8
revolt,8
relegated,8
brag,8
rogue,8
pseudo,8
maria,8
broward,8
government,8
exploratory,8
screenings,8
thereof,8
examines,8
globalist,8
amb,8
thursday,8
nursing,8
kurdish,7
lance,7
daunting,7
1964,7
positioning,7
tampa,7
trailing,7
swamp,7
radicalized,7
viktor,7
led,7
douglas,7
biometric,7
shattering,7
unredacted,7
actors,7
blower,7
suggested,7
odds,7
kelly,7
viewpoints,7
raise,7
approximately,7
circle,7
prisons,7
lambasted,7
hakeem,7
revive,7
easiest,7
fancy,7
bobby,7
sustaining,7
