Word,Cluster_Overlap
events,26
quickly,29
publicly,26
outside,30
multiple,26
attention,27
step,28
staff,29
critics,27
critical,30
tried,31
growing,28
presidency,26
crisis,29
try,30
provide,27
opportunity,26
spent,29
north,28
gop,27
community,25
worked,26
increasingly,29
university,29
announcement,26
allies,29
always,29
although,33
final,28
significant,35
civil,27
sign,29
kind,31
view,33
third,30
threat,28
perhaps,28
series,27
decades,29
seems,30
terms,26
senators,25
repeatedly,28
adviser,29
economic,26
ability,26
bad,25
race,26
particularly,30
saw,28
largely,32
raised,26
half,27
100,28
