Word,Cluster_Overlap
explained,27
due,31
currently,27
push,29
turned,25
stand,25
stated,31
story,26
street,25
organization,24
criticized,26
protect,25
true,25
brought,27
pro,32
friends,26
criticism,25
primary,27
someone,26
host,33
fox,33
cnn,32
amid,28
claimed,33
claiming,27
liberal,26
video,27
mike,27
michael,25
district,24
hill,29
simply,27
live,29
shows,28
showed,25
thousands,25
throughout,25
declared,24
responded,31
reportedly,28
heard,25
pelosi,24
revealed,25
needs,27
release,26
certain,24
related,37
wanted,27
sanders,25
failed,35
care,25
wall,26
2017,26
2019,26
