Word,clf_overlap
emily,32
investigative,30
obliterate,29
injection,28
specific,28
reflect,26
division,26
shortlist,25
describes,24
rating,23
ensured,23
naming,23
vets,21
documents,20
blackface,20
bogged,20
children,20
mired,19
maligned,18
backlash,18
lineup,18
risen,18
earthquake,17
festivities,17
soccer,17
overarching,16
doses,16
1980,16
necessity,16
panic,16
countless,16
named,15
listened,15
outnumbered,15
introduces,15
dakota,15
polling,15
robinson,14
foundations,13
credit,13
blueprint,13
marching,13
automated,13
troopers,13
preemptively,12
exhibited,12
luke,12
complains,12
favour,12
machine,12
barrage,12
highlighted,12
sensible,12
patent,11
jurisprudence,11
gallup,11
hand,11
xenophobia,11
affirmative,11
roundup,11
presumably,11
max,11
salvador,11
option,11
distancing,11
knife,11
architecture,11
dam,11
sparred,11
photograph,10
1918,10
implored,10
border,10
kathy,10
leakers,10
deference,10
rampant,10
inflamed,10
evolving,10
relocated,10
ordeal,10
shied,10
separating,10
downtown,10
thankfully,10
murders,10
courting,10
gamble,10
images,10
vladimir,10
sloppy,9
profitable,9
net,9
pass,9
hiv,9
hale,9
experimental,9
forgo,9
rotunda,9
rationale,9
grasp,9
exculpatory,9
transformative,9
unanswered,9
standoff,9
cronyism,9
supervisory,9
minnesota,9
apply,9
york,9
installation,9
flung,9
sierra,9
head,9
replied,9
william,9
represented,8
weak,8
methods,8
sir,8
receive,8
varied,8
purported,8
weaker,8
coie,8
consensus,8
speculate,8
stating,8
traces,8
bluster,8
amassed,8
firestorm,8
failings,8
randy,8
reaper,8
ratification,8
point,8
smart,8
intercontinental,8
okla,8
inked,8
seeking,8
mixed,8
initiate,8
sexuality,8
phenomena,8
global,8
scripted,8
sexually,8
period,8
mass,8
tpp,8
mafia,8
stealth,8
forth,8
homelessness,8
blaming,8
billing,8
russ,8
retrospect,8
remedy,8
vacuum,8
accomplishments,7
carlos,7
paths,7
assuage,7
legislation,7
issuance,7
discomfort,7
tipped,7
newsletter,7
distance,7
contained,7
beg,7
enduring,7
touted,7
denmark,7
nude,7
undue,7
differing,7
slogan,7
lawmakers,7
rises,7
centrist,7
sharing,7
produces,7
defender,7
bass,7
reap,7
park,7
outed,7
imposing,7
mischief,7
disgraced,7
milano,7
10,7
dow,7
marquette,7
permanently,7
complicating,7
amazon,7
basis,7
activists,7
bust,7
happy,7
fox,7
jailing,7
medium,7
consumers,7
intensive,7
course,7
angry,7
networks,7
pierre,7
rumors,7
donations,7
posing,7
duffy,7
critique,7
infecting,7
west,7
30s,7
raking,7
bed,7
technically,7
hhs,7
abandon,7
russo,7
putin,7
spokespeople,7
let,7
wars,7
transmitted,7
pitch,7
buyer,7
diversion,7
baquet,7
flux,7
prey,7
ingraham,7
gap,7
times,7
threatened,7
locked,6
platforms,6
fool,6
degrees,6
irs,6
situated,6
tax,6
gonzalez,6
irgc,6
impunity,6
reduces,6
booker,6
reduced,6
mccain,6
petroleum,6
claiming,6
1974,6
editorial,6
production,6
outcry,6
unfolds,6
wong,6
doe,6
environmentalist,6
dodged,6
risks,6
large,6
intervene,6
elizabeth,6
anticipated,6
hawk,6
doomed,6
players,6
privileges,6
summer,6
expectancy,6
peru,6
mailed,6
ceasefire,6
intentional,6
levels,6
extremes,6
clayton,6
defended,6
correct,6
indictment,6
adel,6
beings,6
hewitt,6
hud,6
bitch,6
psychiatrist,6
interviewing,6
strong,6
chorus,6
newsweek,6
distorting,6
invested,6
reporter,6
reformer,6
screening,6
russians,6
affordable,6
shouting,6
fracture,6
jesus,6
exercised,6
realities,6
javad,6
aug,6
hardworking,6
row,6
bernhardt,6
crozier,6
stories,6
assessing,6
mistakenly,6
investigators,6
fracturing,6
stinging,6
troy,6
compiling,6
twists,6
asks,6
jabs,6
legislators,6
brian,6
launching,6
dossier,6
logs,6
crafting,6
video,6
including,6
kavanaugh,6
chan,6
kids,6
instantly,6
purpose,6
thousands,6
princeton,6
funneling,6
expand,6
pol,6
retain,6
tops,6
johnson,6
dealer,6
stewardship,6
individually,6
evaluation,6
tech,6
edge,6
mines,6
sum,6
lincoln,6
driven,6
kilmeade,6
inaction,6
authorizes,6
biggs,6
jeanne,6
misrepresenting,6
governance,6
joke,6
withdrawing,5
fight,5
plight,5
plenty,5
money,5
escorted,5
accelerating,5
echo,5
restart,5
emotion,5
plea,5
partnership,5
corporations,5
brokers,5
scrapped,5
1947,5
menu,5
day,5
body,5
elevating,5
heather,5
ticket,5
negotiations,5
venues,5
messages,5
conservatism,5
3rd,5
evening,5
escalation,5
conflicting,5
dramatic,5
candidacies,5
hosting,5
thiel,5
scrambled,5
regulatory,5
christopher,5
contribution,5
impropriety,5
lebanon,5
unanimously,5
markey,5
end,5
abusing,5
framers,5
juncture,5
treatments,5
romney,5
contingency,5
blocking,5
insured,5
municipalities,5
articles,5
loop,5
equals,5
fighters,5
founder,5
retaliating,5
testifies,5
untold,5
reagan,5
fcc,5
wholesale,5
notably,5
defendants,5
smeared,5
idlib,5
newsbusters,5
bond,5
chaffetz,5
mortgage,5
italian,5
reflecting,5
shutdown,5
tantamount,5
instance,5
upend,5
jest,5
bombers,5
stunt,5
demonizing,5
walter,5
2007,5
july,5
informing,5
fueled,5
verbal,5
deposition,5
imperiled,5
budgets,5
156,5
preview,5
characteristic,5
psychiatric,5
publishes,5
upstate,5
abolishing,5
sliding,5
precisely,5
ready,5
providing,5
unaccountable,5
offering,5
bright,5
latino,5
inability,5
opioids,5
afloat,5
description,5
bombs,5
comprised,5
devotion,5
nba,5
constructive,5
dealing,5
convincing,5
samantha,5
annie,5
declining,5
assassination,5
rigging,5
consultation,5
speeches,5
operator,5
documented,5
monster,5
humiliation,5
confidential,5
fair,5
perceptions,5
demagogue,5
