Word,clf_overlap
hop,35
desegregation,34
labor,33
recalls,26
screenings,23
jointly,22
sba,22
cigarettes,22
restraining,21
drew,21
updated,21
chief,21
coalesced,21
wished,21
weaponized,19
especially,19
supposed,19
laughing,18
incest,18
hammer,18
portraying,18
obligations,18
adm,17
withering,17
meddle,17
unsafe,17
schultz,16
rise,16
boasts,16
biometric,16
explanations,16
tense,16
laughs,16
exploratory,16
exodus,15
maria,15
enemy,14
multiracial,14
mesa,14
natural,14
numerous,14
useful,14
emanuel,14
reassure,14
ostensibly,14
annex,13
sisters,13
schedule,13
jon,13
separation,13
suburbs,13
factories,13
enjoyed,13
270,13
wartime,13
julia,13
116,13
turbulent,13
integrated,13
uncontested,13
potus,13
respective,13
initiative,13
escaping,12
suspended,12
discouraged,12
stringent,12
smoking,12
westerville,12
map,12
racially,12
wages,12
proportional,12
flag,12
sheriff,12
material,12
teen,12
suleimani,12
hole,12
contention,12
concluding,12
destroying,12
scholarship,12
rioting,12
snapped,12
nursing,12
episcopal,12
focused,12
verdict,11
spinning,11
enrich,11
sailors,11
mayhem,11
boat,11
midwestern,11
depict,11
handouts,11
raise,11
plane,11
ultimate,11
wears,11
rightfully,11
judith,11
dug,11
challenge,11
strategy,11
sudan,11
broward,11
rogue,11
takeaway,11
sociology,10
attacks,10
dictatorship,10
residing,10
profound,10
harold,10
bracing,10
certainly,10
radicalized,10
proxy,10
sciences,10
advisor,10
pleading,10
generated,10
generation,10
depressed,10
throw,10
illustrates,10
wisdom,10
database,10
invite,10
conversion,10
jew,10
strongly,10
vocally,10
postmaster,10
undertake,10
resume,10
normal,10
paved,10
territorial,10
continued,10
powered,10
reservations,10
abundance,10
spokesperson,10
chain,10
1952,10
installations,10
dynamics,10
kirkuk,10
clinical,10
pork,10
traditionally,10
myers,10
win,10
jarring,10
posts,10
affirmatively,10
willfully,10
whip,10
brennan,9
tony,9
fake,9
notoriety,9
swamp,9
whiteness,9
lagging,9
crowded,9
applause,9
costing,9
best,9
appeals,9
richard,9
muddled,9
ease,9
booed,9
prisons,9
impeachment,9
deprived,9
transcript,9
entertainment,9
byrne,9
friedman,9
qualms,9
unnecessary,9
crashing,9
modernize,9
listing,9
groundbreaking,9
sotu,9
obamacare,9
gaetz,9
pseudo,9
fist,9
dylan,9
warfare,9
apologists,9
purview,9
survey,9
replicate,9
crux,9
medication,9
probable,9
ana,9
practice,9
norman,9
racking,9
queen,9
averaged,9
thereof,9
require,9
bargain,8
protection,8
tailor,8
15,8
garden,8
viable,8
materialize,8
combine,8
motives,8
pair,8
ridicule,8
imperialism,8
smartest,8
workings,8
breach,8
mitchell,8
patriotism,8
apologist,8
bonds,8
toddler,8
concerted,8
recklessly,8
disseminate,8
writers,8
lambasted,8
showers,8
inconsistent,8
pic,8
threw,8
empowerment,8
contributors,8
noteworthy,8
sponsors,8
lease,8
reeves,8
hometown,8
bore,8
predominantly,8
protect,8
capabilities,8
sideline,8
displays,8
parnas,8
extremists,8
ideologue,8
divisiveness,8
judged,8
competitors,8
embolden,8
clarke,8
chains,8
globalist,8
robby,8
indiscriminate,8
canadian,8
acronym,8
friendship,8
repercussions,8
assassinations,8
buffer,8
unredacted,8
brief,8
revolt,8
scoop,8
left,8
puerto,8
260,8
americas,8
welcoming,8
deaf,8
devout,8
